Members,,,,,,
MemberID,FirstName,LastName,DOB,Street,State,ZipCode
,,,,,12.79,
,,,,,28.71,
,,,,,17.90,
,,,,,13.04,
,,,,,14.62,
,,,,,29.43,
,,,,,8.38,
,,,,,8.85,
,,,,,22.45,
,,,,,26.31,
,,,,,16.74,
,,,,,17.78,
,,,,,30.50,
,,,,,30.08,
,,,,,13.07,
,,,,,8.47,
,,,,,11.59,
,,,,,16.66,
,,,,,10.64,
,,,,,17.19,
,,,,,15.53,
,,,,,7.41,
,,,,,3.94,
,,,,,1.48,
,,,,,1.92,
,,,,,10.38,
,,,,,21.61,
,,,,,29.80,
,,,,,19.53,
,,,,,11.38,
,,,,,8.83,
,,,,,18.85,
,,,,,14.57,
,,,,,5.81,
,,,,,5.20,
,,,,,30.36,
,,,,,24.92,
,,,,,18.77,
,,,,,14.99,
,,,,,1.31,
,,,,,20.99,
,,,,,16.17,
,,,,,12.18,
,,,,,24.28,
,,,,,10.67,
,,,,,13.46,
,,,,,19.27,
,,,,,7.35,
,,,,,29.71,
,,,,,25.75,
,,,,,9.92,
,,,,,21.45,
,,,,,28.19,
,,,,,16.90,
,,,,,24.60,
,,,,,5.84,
,,,,,7.25,
,,,,,15.56,
,,,,,12.72,
,,,,,24.05,
,,,,,26.29,
,,,,,14.36,
,,,,,1.64,
,,,,,30.91,
,,,,,24.61,
,,,,,13.91,
,,,,,13.94,
,,,,,6.04,
,,,,,7.25,
,,,,,9.98,
,,,,,21.75,
,,,,,24.68,
,,,,,11.91,
,,,,,23.06,
,,,,,22.09,
,,,,,30.71,
,,,,,16.87,
,,,,,12.18,
,,,,,8.45,
,,,,,18.19,
,,,,,20.14,
,,,,,19.77,
,,,,,19.34,
,,,,,26.11,
,,,,,27.22,
,,,,,18.03,
,,,,,15.48,
,,,,,24.08,
,,,,,1.37,
,,,,,4.94,
,,,,,6.20,
,,,,,12.25,
,,,,,11.07,
,,,,,29.66,
,,,,,28.09,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
